tunnus,nimi,isin,id_notation,aum,kulut,toteutus,osinko
21BC,21Shares Bitcoin Core ETP,CH1199067674,387614540,"446,11 M$","0,10 %",Arvopaperi,
2BTC,21Shares Bitcoin ETP,CH0454664001,299408016,"621,53 M$","1,50 %",Arvopaperi,
ADAA,21Shares Cardano ADA ETP,CH1102728750,352198909,"30,55 M$","2,50 %",Arvopaperi,
21XH,21Shares Crypto Basket Index ETP,CH0445689208,352197853,"153,09 M$","2,50 %",Arvopaperi,
ADOT,21Shares Polkadot ETP,CH0593331561,352198907,"9,19 M$","2,50 %",Arvopaperi,
21XP,21Shares Ripple XRP ETP,CH0454664043,374966232,"339,56 M$","2,50 %",Johdannainen,
JMLP,Alerian Midstream Energy Dividend UCITS ETF,IE00BKPTXQ89,302771322,"69,95 M$","0,40 %",Arvopaperi,Neljännesvuosittain
AVWS,American Century ICAV - Avantis Global Small Cap Value UCITS ETF AccumUSD,IE0003R87OG3,478063247,"910,57 M","0,39 %",Arvopaperi,
LYPU,Amundi Australia S&P/ASX 200 UCITS ETF Dist,LU0496786905,35505908,"132,91 M€","0,40 %",Johdannainen,Vuosittain
LYTR,Amundi Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF Shs -Acc- Capitalisation,LU1829218749,15339015,"1 604,81 M€","0,35 %",Johdannainen,
WEBH,Amundi Core MSCI USA UCITS ETF Accum USD,IE000FSN19U2,453136488,"3 558,96 M$","0,03 %",Arvopaperi,
MWRE,Amundi Core MSCI World UCITS ETF Accum USD,IE000BI8OT95,455633778,"15 259,4 M$","0,14 %",Arvopaperi,
LYPS,Amundi Core S&P 500 Swap UCITS ETF EUR Dist,LU0496786574,35505906,"2 827,78 M€","0,05 %",Johdannainen,Vuosittain
LYP6,Amundi Core Stoxx Europe 600 -UCITS ETF Acc- Capitalisation,LU0908500753,197447690,"17 814,3 M€","0,07 %",Arvopaperi,
LYY7,Amundi DAX II UCITS ETF Acc,LU0252633754,15072403,"1 228,13 M€","0,15 %",Arvopaperi,
DJAM,Amundi Dow Jones Industrial Average UCITS ETF FCP Parts -Dist-,FR0007056841,15072815,"326,86 M€","0,50 %",Johdannainen,Vuosittain
WELJ,Amundi ETF ICAV - Amundi S&P Global Consumer Discretionary ESG UCITS ETF Accum-DR- EUR,IE000NM0ALX6,396878052,"249,87 M€","0,25 %",Arvopaperi,
WELH,Amundi ETF ICAV - Amundi S&P World Industrials Screened UCITS ETF Accum DR EUR,,396878050,"861,67 M€","0,18 %",Arvopaperi,
WELI,Amundi ETF ICAV - Amundi S&P World Materials Screened UCITS ETF Accum Shs -DR- EUR,,396878017,"644,63 M€","0,18 %",Arvopaperi,
AMEQ,AMUNDI ETF MSCI EUROPE QUALITY FACTOR UCITS ETF,LU1681041890,213389826,"247,59 M€","0,23 %",Johdannainen,
LYXC,Amundi Euro Government Bond 5-7Y UCITS ETF Acc,LU1287023003,166443489,"666,49 M€","0,17 %",Arvopaperi,
LYXD,Amundi Euro Government Bond 7-10Y UCITS ETF Acc,LU1287023185,166443490,"1 480,68 M€","0,16 %",Arvopaperi,
LYXF,Amundi Euro Government Bond 15+Y UCITS ETF Acc,LU1287023268,166443491,"207,28 M€","0,17 %",Arvopaperi,
LYXA,Amundi Euro Highest Rated Macro-Weighted Government Bond UCITS ETF Acc,LU1287023342,166443492,"265,8 M€","0,17 %",Arvopaperi,
EUIN,Amundi Euro Inflation Expectations 2-10Y UCITS ETF,LU1390062245,174899260,"270,23 M€","0,25 %",Johdannainen,
LSK8,Amundi EURO STOXX 50 Daily (-2X) Inverse UCITS ETF Act -Acc-,FR0010424143,24019584,"24,5 M€","0,60 %",Johdannainen,
LYSX,Amundi EURO STOXX 50 II UCITS ETF Act -Acc-,FR0007054358,6457203,"4 110,06 M€","0,20 %",Arvopaperi,
L8I3,Amundi EUR Overnight Return UCITS ETF -Acc-,FR0010510800,21966272,"2 951,67 M€","0,10 %",Johdannainen,
10AJ,Amundi FTSE EPRA NAREIT Global -UCITS ETF DR- Distribution,LU1737652823,209148670,"57,84 M€","0,31 %",Arvopaperi,Vuosittain
LYQK,Amundi German Bund Daily (-2x) Inverse UCITS ETF -Acc-,FR0010869578,37034764,"22,64 M€","0,20 %",Johdannainen,
WDNR,Amundi Global Bioenergy -UCITS ETF EUR Acc- Capitalisation,LU1681046006,208710781,"52,25 M€","0,45 %",Johdannainen,
LGQI,Amundi Global Equity Quality Income UCITS ETF DIST,LU0832436512,74284604,"142,74 M€","0,45 %",Johdannainen,Vuosittain
V50A,Amundi Index Solutions - Euro STOXX 50 DR UCITS ETF,LU1681047236,210075445,"3 703,08 M€","0,15 %",Arvopaperi,
AMEI,Amundi Index Solutions - MSCI EM SRI Climate Paris Aligned,LU1861138961,250892507,"1 991,03 M$","0,42 %",Arvopaperi,
AMEC,Amundi Index Solutions - MSCI Smart Cities,LU2037748345,275590777,"71,84 M€","0,53 %",Arvopaperi,
PRAJ,Amundi Index Solutions - Prime Japan,LU2089238385,280572791,"91 277,6 MJPY","0,08 %",Arvopaperi,
GLUX,Amundi Index Solutions - S&P Global Luxury,LU1681048630,208710775,"348,94 M€","0,25 %",Johdannainen,
,Amundi Index Solutions - SDAX UCITS ETF,LU2611732475,442685973,"166,76 M€","0,70 %",Arvopaperi,Vuosittain
JPNH,Amundi Japan TOPIX II UCITS ETF -Daily Hedged to EUR - Dist-,FR0011475078,89881321,"91,88 MJPY","0,45 %",Arvopaperi,Vuosittain
LYY4,Amundi Japan TOPIX II UCITS ETF -Dist EUR-,FR0010245514,15338964,"361,36 MJPY","0,45 %",Arvopaperi,Vuosittain
LASP,Amundi MSCI AC Asia Pacific Ex Japan ETF -Acc- Capitalisation,LU1900068328,247230573,"741,65 M€","0,60 %",Johdannainen,
DRUP,Amundi MSCI Disruptive Technology UCITS ETF Acc,LU2023678282,292671840,"164,34 M$","0,45 %",Arvopaperi,
LEER,Amundi MSCI Eastern Europe Ex Russia ETF -Acc- Capitalisation,LU1900066462,249191821,550 M€,"0,50 %",Johdannainen,
LCUA,Amundi MSCI EM Asia ESG Broad Transition UCITS ETF Acc Shs Capitalisation,LU1781541849,213814361,"722,48 M$","0,25 %",Arvopaperi,
EMXC,Amundi MSCI Emerging Ex China ETF Acc Capitalisation,LU2009202107,261324526,"5 074,46 M$","0,15 %",Johdannainen,
SADM,Amundi MSCI Emerging Markets ESG Selection UCITS ETF DR (C),LU2109787551,299141664,"1 367,13 M$","0,34 %",Arvopaperi,
AMEM,Amundi MSCI Emerging Markets Swap -UCITS ETF EUR C- Capitalisation,LU1681045370,215572438,"3 928,23 M€","0,20 %",Johdannainen,
LYM7,Amundi MSCI Emerging Markets Swap II UCITS ETF Act -Acc (EUR)-,FR0010429068,19023957,"943,42 M€","0,55 %",Johdannainen,
LGQG,Amundi MSCI EMU ESG Broad Transition -UCITS ETF Acc- Capitalisation,LU0908501058,197447692,"1 160,68 M€","0,12 %",Arvopaperi,
LGWU,Amundi MSCI EMU Small Cap ESG Broad Transition UCITS ETF DIST,LU1598689153,197248311,"377,24 M€","0,40 %",Arvopaperi,Vuosittain
SRHE,Amundi MSCI EMU SRI Climate Paris Aligned UCITS ETF DR (C),LU2109787635,295521428,"107,75 M€","0,18 %",Arvopaperi,
LGWS,Amundi MSCI EMU Value Factor - UCITS ETF Dist,LU1598690169,197248313,"237,48 M€","0,40 %",Arvopaperi,Vuosittain
AE5B,Amundi MSCI Europe Action -UCITS ETF- Distribution,LU2608817958,423678180,"2 463,65 M€","0,09 %",Arvopaperi,Vuosittain
EHF1,Amundi MSCI Europe High Dividend Factor,LU1681041973,208710779,"457,12 M€","0,23 %",Johdannainen,
LYY5,Amundi MSCI Europe UCITS ETF Act -Acc-,FR0010261198,14924651,"576,41 M€","0,25 %",Arvopaperi,
XMGA,Amundi MSCI Ex USA Mega Cap UCITS ETF AccumUSD,IE000XL4IXU1,484803080,"42,96 M$","0,15 %",Arvopaperi,
LYMH,Amundi MSCI Greece UCITS ETF -Dist-,FR0010405431,17308598,"410,88 M€","0,45 %",Johdannainen,Vuosittain
LYMD,Amundi MSCI India Swap UCITS ETF EUR Acc (EUR)-,FR0010361683,16621012,"817,72 M€","0,85 %",Johdannainen,
GENY,Amundi MSCI Millennials UCITS ETF Acc,LU2023678449,292671845,"23,7 M$","0,45 %",Arvopaperi,
